1,58
2,50
3,40
4,18
5,23
6,15
7,15
8,60
9,69
10,16
11,66
12,64
13,45
14,79
15,91
16,65
17,49
18,46
19,45
20,53
21,69
22,72
23,55
24,32
25,36
26,22
27,43
28,45
29,44
30,50
31,3
32,73
33,23
34,63
35,60
36,85
37,63
38,60
39,32
40,57
41,37
42,85
43,32
44,61
45,52
46,50
47,34
48,60
49,26
50,50
51,76
52,54
53,19
54,78
55,72
56,34
57,37
58,48
59,74
60,42
61,53
62,19
63,36
64,7
65,23
66,15
67,7
68,29
69,23
70,70
71,72
72,69
73,55
74,69
75,61
76,74
77,61
78,12
79,14
80,25
81,50
82,77
83,30
84,90
85,20
86,28
87,33
88,48
89,52
90,49
91,49
92,29
93,49
94,51
95,39
96,67
97,6
98,62
99,41
100,42
101,60
102,48
103,72
104,34
105,24
106,46
107,65
108,67
109,39
110,30
111,52
112,48
113,21
114,25
115,9
116,4
117,80
118,43
119,20
120,57
121,47
122,27
123,45
124,40
125,33
126,38
127,43
128,40
129,45
130,30
131,38
132,40
133,30
134,51
135,38
136,25
137,21
138,19
139,24
140,51
141,23
142,17
143,84
144,46
145,13
146,22
147,62
148,69
149,75
150,71
151,4
152,63
153,45
154,60
155,36
156,72
157,47
158,5
159,38
160,5
161,27
162,17
163,15
164,35
165,40
166,27
167,37
168,8
169,42
170,37
171,49
172,75
173,82
174,88
175,50
176,69
177,74
178,85
179,82
180,88
181,89
182,82
183,84
184,84
185,35
186,62
187,39
188,58
189,23
190,34
191,64
192,63
193,58
194,49
195,62
196,45
197,36
198,39
199,41
200,35
201,33
202,36
203,34
204,30
205,37
206,34
207,36
208,43
209,39
210,31
211,40
212,34
213,43
214,30
215,36
216,41
217,39
218,18
219,26
220,24
221,27
222,15
223,16
224,34
225,27
226,28
227,25
228,58
229,55
230,58
231,16
232,14
233,29
234,8
235,23
236,44
237,5
238,49
239,38
240,59
241,61
242,37
243,41
244,59
245,29
246,40
247,37
248,48
249,53
250,52
251,16
252,54
253,27
254,17
255,1
256,3
257,10
258,46
259,47
260,31
261,8
262,2
263,6
264,1
265,57
266,52
267,49
268,40
269,2
270,20
271,52
272,23
273,51
274,22
275,5
276,35
277,27
278,18
279,35
280,35
281,19
282,9
283,77
284,45
285,41
286,20
287,33
288,6
289,34
290,34
291,1
292,4
293,65
294,1
295,21
296,60
297,61
298,4
299,57
300,46
301,66
302,59
303,85
304,78
305,74
306,79
307,78
308,65
309,64
310,72
311,33
312,65
313,66
314,68
315,72
316,59
317,53
318,73
319,70
320,28
321,40
322,37
323,30
324,36
325,31
326,2
327,24
328,59
329,62
330,62
331,32
332,39
333,43
334,45
335,40
336,37
337,27
338,33
339,67
340,65
341,68
342,32
343,51
344,26
345,57
346,46
347,51
348,49
349,34
350,40
351,40
352,59
353,53
354,48
355,50
356,51
357,51
358,45
359,51
360,54
361,49
362,63
363,68
364,59
365,58
366,69
367,85
368,32
369,68
370,78
371,38
372,63
373,43
374,68
375,80
376,40
377,60
378,73
379,30
380,42
381,56
382,85
383,57
384,60
385,56
386,61
387,61
388,52
389,54
390,35
391,7
392,77
393,75
394,59
395,72
396,53
397,52
398,29
399,27
400,34
401,25
402,1
403,74
404,74
405,83
406,48
407,31
408,39
409,52
410,73
